Update Time Step,Loss
80015,0.7055401399731636
80034,0.34613037556409837
80044,0.3235788598656654
80055,0.3141852989792824
80069,0.31417264342308043
80088,0.3013369657099247
80115,0.2711310416460037
80129,0.2372631996870041
80184,0.22315571457147598
80197,0.22244277149438857
80233,0.22572157979011537
80262,0.23288995549082755
80277,0.2379110962152481
80307,0.24410300180315972
80318,0.24666591212153435
80344,0.25055246651172636
80360,0.2499060995876789
80373,0.25168056711554526
80390,0.2522996127605438
80411,0.25123677477240564
80427,0.25161677598953247
80439,0.24569241926074029
80452,0.24515015929937362
80471,0.2456338070333004
80485,0.24179606810212134
80506,0.24132941663265228
80517,0.23981546387076377
80546,0.24016765728592873
80562,0.24129487499594687
80601,0.23715574219822882
80623,0.23375496938824653
80636,0.23691447749733924
80712,0.23541167750954628
80728,0.233775082975626
80743,0.23252665027976036
80754,0.23203391954302788
80770,0.23208072558045387
80803,0.2289517693221569
80816,0.22991128712892533
80825,0.23547552824020385
80848,0.23124726936221124
80861,0.2305712878704071
80893,0.2280251994729042
80937,0.22237589806318284
80955,0.22547619193792343
80972,0.2260475128889084
81013,0.22626142874360083
81032,0.2232237294316292
81058,0.22559863924980164
81070,0.2227277472615242
81080,0.22395260035991668
81097,0.22131526097655296
81120,0.2212530255317688
81132,0.21772675812244416
81144,0.221974678337574
81155,0.2215376988053322
81174,0.2164798215031624
81192,0.21983885988593102
81216,0.21892207562923433
81233,0.21512495800852777
81249,0.21985700428485871
81290,0.21900296062231064
81303,0.21873635947704315
81326,0.216902270168066
81344,0.21894588842988014
81361,0.212190905213356
81372,0.2196626991033554
81383,0.21461597457528114
81399,0.2200780190527439
81414,0.2142268441617489
81457,0.21640037670731543
81469,0.21618029624223709
81484,0.21401940882205964
81502,0.21997119560837747
81530,0.21463470458984374
81554,0.21106403991580008
81572,0.21126366630196572
81593,0.21249722093343734
81616,0.212923264503479
81634,0.2115705616772175
81660,0.2107069417834282
81705,0.20652063861489295
81741,0.21251739859580993
81765,0.21286683157086372
81781,0.2075236476957798
81840,0.205642369389534
81863,0.21063243746757507
81880,0.2069937378168106
81888,0.2082609511911869
81916,0.20581140294671058
81970,0.2100162610411644
82012,0.2113610975444317
82025,0.2068603441119194
82038,0.20597228705883025
82051,0.20780103504657746
82073,0.20632739067077638
82127,0.20244463607668878
82153,0.20549993515014647
82175,0.20179881975054742
82192,0.20463963076472283
82203,0.20310038477182388
82218,0.20454834699630736
82233,0.2077177308499813
82244,0.2057749569416046
82271,0.20176855176687242
82311,0.20481729209423066
82334,0.20792500525712967
82353,0.20981391295790672
82369,0.2040145955979824
82388,0.20057603046298028
82438,0.2030150704085827
82465,0.1968991905450821
82510,0.20064845383167268
82530,0.19834339693188668
82546,0.20190445259213446
82561,0.20140830799937248
82577,0.20580316185951233
82592,0.20348084792494775
82614,0.2016849212348461
82626,0.19490795210003853
82644,0.1967446029186249
82674,0.19812702909111976
82699,0.19539115726947784
82712,0.19581929221749306
82729,0.1970153771340847
82756,0.19559084102511406
82777,0.19206738397479056
82798,0.1923483595252037
82810,0.19346534833312035
82833,0.19543225243687629
82853,0.1950157418847084
82894,0.19592399150133133
82908,0.19954617246985434
82941,0.1959651492536068
82952,0.19214242175221444
82970,0.19267542958259581
82988,0.1893632672727108
83002,0.19514725357294083
